country,city,aqi_value,aqi_category,co_aqi,co_category,ozone_aqi,ozone_category,no2_aqi,no2_category,pm25_aqi,pm25_category
India,Belur,57.00,Moderate,1.00,Good,13.00,Good,3.00,Good,57.00,Moderate
Croatia,Bjelovar,68.00,Moderate,1.00,Good,63.00,Moderate,0.00,Good,68.00,Moderate
Russian Federation,Bogoroditsk,39.00,Good,1.00,Good,39.00,Good,0.00,Good,21.00,Good
Brazil,Bom Despacho,37.00,Good,1.00,Good,27.00,Good,0.00,Good,37.00,Good
Russian Federation,Bor,36.00,Good,1.00,Good,36.00,Good,3.00,Good,30.00,Good
Republic of North Macedonia,Bosilovo,61.00,Moderate,1.00,Good,46.00,Good,0.00,Good,61.00,Moderate
Central African Republic,Bouca,63.00,Moderate,1.00,Good,17.00,Good,0.00,Good,63.00,Moderate
South Africa,Bredasdorp,44.00,Good,1.00,Good,22.00,Good,1.00,Good,44.00,Good
Netherlands,Brummen,38.00,Good,1.00,Good,38.00,Good,0.00,Good,35.00,Good
Spain,Calatayud,40.00,Good,0.00,Good,40.00,Good,0.00,Good,10.00,Good
Italy,Campiglia Marittima,86.00,Moderate,1.00,Good,86.00,Moderate,0.00,Good,32.00,Good
Cuba,Cardenas,37.00,Good,0.00,Good,37.00,Good,0.00,Good,23.00,Good
Brazil,Carlos Chagas,26.00,Good,0.00,Good,25.00,Good,0.00,Good,26.00,Good
France,Carrieres Sous Poissy,67.00,Moderate,1.00,Good,44.00,Good,2.00,Good,67.00,Moderate
Brazil,Cassia,37.00,Good,1.00,Good,24.00,Good,0.00,Good,37.00,Good
India,Chalala,95.00,Moderate,1.00,Good,26.00,Good,1.00,Good,95.00,Moderate
India,Chamba,92.00,Moderate,2.00,Good,40.00,Good,1.00,Good,92.00,Moderate
Cuba,Chambas,47.00,Good,1.00,Good,32.00,Good,0.00,Good,47.00,Good
China,Changde,150.00,Unhealthy,6.00,Good,26.00,Good,19.00,Good,150.00,Unhealthy
United Republic of Tanzania,Chanika,19.00,Good,0.00,Good,17.00,Good,0.00,Good,19.00,Good
India,Charkhi Dadri,171.00,Unhealthy,4.00,Good,128.00,Unhealthy for Sensitive Groups,5.00,Good,171.00,Unhealthy
France,Chateau Gontier,47.00,Good,1.00,Good,37.00,Good,0.00,Good,47.00,Good
France,Chaville,72.00,Moderate,1.00,Good,43.00,Good,2.00,Good,72.00,Moderate
Russian Federation,Chelyabinsk 40,39.00,Good,1.00,Good,39.00,Good,1.00,Good,11.00,Good
India,Cherrapunji,87.00,Moderate,3.00,Good,12.00,Good,6.00,Good,87.00,Moderate
Peru,Chicama,44.00,Good,0.00,Good,24.00,Good,0.00,Good,44.00,Good
Colombia,Circasia,83.00,Moderate,1.00,Good,19.00,Good,3.00,Good,83.00,Moderate
United States of America,Citrus Park,81.00,Moderate,1.00,Good,81.00,Moderate,2.00,Good,13.00,Good
El Salvador,Ciudad Arce,69.00,Moderate,1.00,Good,24.00,Good,1.00,Good,69.00,Moderate
India,Clement Town,156.00,Unhealthy,4.00,Good,25.00,Good,11.00,Good,156.00,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Aberdare,40.00,Good,1.00,Good,30.00,Good,1.00,Good,40.00,Good
Russian Federation,Achkhoy Martan,46.00,Good,1.00,Good,36.00,Good,2.00,Good,46.00,Good
Italy,Albano Laziale,77.00,Moderate,1.00,Good,77.00,Moderate,0.00,Good,31.00,Good
Italy,Anguillara Sabazia,76.00,Moderate,1.00,Good,76.00,Moderate,0.00,Good,29.00,Good
United States of America,Apple Valley,64.00,Moderate,1.00,Good,35.00,Good,4.00,Good,64.00,Moderate
Mexico,Ario,35.00,Good,1.00,Good,27.00,Good,0.00,Good,35.00,Good
Greece,Arta,129.00,Unhealthy for Sensitive Groups,1.00,Good,42.00,Good,0.00,Good,129.00,Unhealthy for Sensitive Groups
Belgium,Asse,52.00,Moderate,1.00,Good,38.00,Good,2.00,Good,52.00,Moderate
Japan,Eniwa,45.00,Good,1.00,Good,28.00,Good,6.00,Good,45.00,Good
South Africa,Ermelo,52.00,Moderate,1.00,Good,17.00,Good,5.00,Good,52.00,Moderate
Russian Federation,Ertil,48.00,Good,1.00,Good,38.00,Good,0.00,Good,48.00,Good
Germany,Eschborn,62.00,Moderate,1.00,Good,62.00,Moderate,0.00,Good,57.00,Moderate
Cameroon,Eseka,42.00,Good,1.00,Good,19.00,Good,0.00,Good,42.00,Good
Brazil,Estreito,20.00,Good,0.00,Good,20.00,Good,0.00,Good,19.00,Good
United States of America,Euless,73.00,Moderate,2.00,Good,37.00,Good,4.00,Good,73.00,Moderate
,Exmouth,37.00,Good,1.00,Good,29.00,Good,1.00,Good,37.00,Good
Sweden,Solna,34.00,Good,1.00,Good,34.00,Good,0.00,Good,16.00,Good
Portugal,Fafe,37.00,Good,0.00,Good,37.00,Good,0.00,Good,15.00,Good
Colombia,Sonson,50.00,Good,1.00,Good,17.00,Good,0.00,Good,50.00,Good
Morocco,Fez,37.00,Good,0.00,Good,33.00,Good,0.00,Good,37.00,Good
Turkey,Sorgun,44.00,Good,1.00,Good,44.00,Good,0.00,Good,26.00,Good
United States of America,Speedway,56.00,Moderate,1.00,Good,39.00,Good,2.00,Good,56.00,Moderate
United States of America,State College,54.00,Moderate,1.00,Good,40.00,Good,1.00,Good,54.00,Moderate
Tunisia,Subaytilah,68.00,Moderate,1.00,Good,47.00,Good,0.00,Good,68.00,Moderate
,Gaeta,77.00,Moderate,1.00,Good,77.00,Moderate,0.00,Good,40.00,Good
United Kingdom of Great Britain and Northern Ireland,Gainsborough,43.00,Good,1.00,Good,35.00,Good,1.00,Good,43.00,Good
Indonesia,Gamping,164.00,Unhealthy,6.00,Good,12.00,Good,18.00,Good,164.00,Unhealthy
Germany,Ganderkesee,38.00,Good,1.00,Good,38.00,Good,0.00,Good,28.00,Good
France,Gap,48.00,Good,1.00,Good,38.00,Good,0.00,Good,48.00,Good
Brazil,Garca,62.00,Moderate,1.00,Good,24.00,Good,0.00,Good,62.00,Moderate
Armenia,Gavar,84.00,Moderate,1.00,Good,36.00,Good,0.00,Good,84.00,Moderate
Germany,Gengenbach,69.00,Moderate,1.00,Good,57.00,Moderate,0.00,Good,69.00,Moderate
Germany,Gernsbach,66.00,Moderate,1.00,Good,60.00,Moderate,0.00,Good,66.00,Moderate
India,Giddalur,98.00,Moderate,2.00,Good,33.00,Good,4.00,Good,98.00,Moderate
Philippines,Davao,87.00,Moderate,1.00,Good,17.00,Good,1.00,Good,87.00,Moderate
France,Dax,40.00,Good,1.00,Good,40.00,Good,0.00,Good,21.00,Good
Netherlands,Deventer,37.00,Good,1.00,Good,37.00,Good,0.00,Good,31.00,Good
India,Dhamnod,159.00,Unhealthy,2.00,Good,18.00,Good,5.00,Good,159.00,Unhealthy
Brazil,Dois Corregos,59.00,Moderate,1.00,Good,24.00,Good,0.00,Good,59.00,Moderate
Romania,Draganesti Olt,49.00,Good,1.00,Good,49.00,Good,0.00,Good,41.00,Good
Russian Federation,Drezna,38.00,Good,1.00,Good,38.00,Good,3.00,Good,31.00,Good
Republic of Moldova,Drochia,55.00,Moderate,1.00,Good,51.00,Moderate,0.00,Good,55.00,Moderate
Venezuela (Bolivarian Republic of),El Tocuyo,39.00,Good,1.00,Good,21.00,Good,0.00,Good,39.00,Good
Germany,Emsdetten,43.00,Good,1.00,Good,40.00,Good,0.00,Good,43.00,Good
France,Compiegne,59.00,Moderate,1.00,Good,48.00,Good,0.00,Good,59.00,Moderate
United States of America,Coram,65.00,Moderate,2.00,Good,39.00,Good,9.00,Good,65.00,Moderate
Italy,Correggio,67.00,Moderate,1.00,Good,67.00,Moderate,0.00,Good,66.00,Moderate
Turkey,Corum,43.00,Good,1.00,Good,43.00,Good,0.00,Good,25.00,Good
United States of America,Council Bluffs,43.00,Good,1.00,Good,43.00,Good,2.00,Good,41.00,Good
Brazil,Custodia,21.00,Good,0.00,Good,21.00,Good,0.00,Good,13.00,Good
Azerbaijan,Saray,81.00,Moderate,1.00,Good,47.00,Good,0.00,Good,81.00,Moderate
Germany,Schwelm,54.00,Moderate,1.00,Good,44.00,Good,1.00,Good,54.00,Moderate
Brazil,Serrinha,23.00,Good,0.00,Good,23.00,Good,0.00,Good,19.00,Good
United States of America,Severn,48.00,Good,1.00,Good,44.00,Good,3.00,Good,48.00,Good
Italy,Imola,76.00,Moderate,1.00,Good,37.00,Good,2.00,Good,76.00,Moderate
Japan,Inuyama,47.00,Good,1.00,Good,47.00,Good,1.00,Good,38.00,Good
Brazil,Ipero,77.00,Moderate,2.00,Good,10.00,Good,5.00,Good,77.00,Moderate
Brazil,Itacoatiara,21.00,Good,0.00,Good,7.00,Good,0.00,Good,21.00,Good
Czechia,Jesenik,73.00,Moderate,1.00,Good,41.00,Good,1.00,Good,73.00,Moderate
Brazil,Jucas,29.00,Good,0.00,Good,11.00,Good,1.00,Good,29.00,Good
India,Junagadh,133.00,Unhealthy for Sensitive Groups,0.00,Good,27.00,Good,0.00,Good,133.00,Unhealthy for Sensitive Groups
Pakistan,Kahuta,149.00,Unhealthy for Sensitive Groups,2.00,Good,129.00,Unhealthy for Sensitive Groups,0.00,Good,149.00,Unhealthy for Sensitive Groups
Japan,Kakuda,41.00,Good,1.00,Good,41.00,Good,1.00,Good,40.00,Good
Pakistan,Kalat,148.00,Unhealthy for Sensitive Groups,0.00,Good,43.00,Good,0.00,Good,148.00,Unhealthy for Sensitive Groups
Serbia,Kaluderica,79.00,Moderate,1.00,Good,44.00,Good,2.00,Good,79.00,Moderate
India,Kankon,83.00,Moderate,0.00,Good,23.00,Good,0.00,Good,83.00,Moderate
United Republic of Tanzania,Katoro,33.00,Good,1.00,Good,15.00,Good,0.00,Good,33.00,Good
Switzerland,Hinwil,41.00,Good,1.00,Good,35.00,Good,2.00,Good,41.00,Good
Germany,Hunxe,33.00,Good,1.00,Good,32.00,Good,2.00,Good,33.00,Good
India,Khed Brahma,182.00,Unhealthy,1.00,Good,35.00,Good,0.00,Good,182.00,Unhealthy
Germany,Kirchlinteln,33.00,Good,0.00,Good,33.00,Good,1.00,Good,13.00,Good
Poland,Klobuck,80.00,Moderate,1.00,Good,38.00,Good,1.00,Good,80.00,Moderate
Japan,Kodama,27.00,Good,1.00,Good,24.00,Good,3.00,Good,27.00,Good
Turkey,Korfez,43.00,Good,1.00,Good,35.00,Good,0.00,Good,43.00,Good
India,Kosamba,156.00,Unhealthy,1.00,Good,25.00,Good,1.00,Good,156.00,Unhealthy
United States of America,Shenandoah,44.00,Good,1.00,Good,22.00,Good,4.00,Good,44.00,Good
China,Shenxian,157.00,Unhealthy,5.00,Good,82.00,Moderate,17.00,Good,157.00,Unhealthy
Japan,Shiki,88.00,Moderate,2.00,Good,22.00,Good,21.00,Good,88.00,Moderate
South Africa,Kriel,102.00,Unhealthy for Sensitive Groups,1.00,Good,16.00,Good,12.00,Good,102.00,Unhealthy for Sensitive Groups
China,Shuiji,89.00,Moderate,4.00,Good,63.00,Moderate,10.00,Good,89.00,Moderate
Thailand,Si Satchanalai,62.00,Moderate,1.00,Good,17.00,Good,1.00,Good,62.00,Moderate
Guinea,Siguiri,56.00,Moderate,1.00,Good,21.00,Good,0.00,Good,56.00,Moderate
United Republic of Tanzania,Kyaka,23.00,Good,1.00,Good,18.00,Good,0.00,Good,23.00,Good
Spain,La Puebla De Cazalla,28.00,Good,1.00,Good,28.00,Good,2.00,Good,28.00,Good
Indonesia,Labuhan,176.00,Unhealthy,3.00,Good,176.00,Unhealthy,1.00,Good,137.00,Unhealthy for Sensitive Groups
Belgium,Sint Genesius Rode,54.00,Moderate,1.00,Good,39.00,Good,2.00,Good,54.00,Moderate
India,Siolim,48.00,Good,1.00,Good,23.00,Good,1.00,Good,48.00,Good
India,Sirmaur,171.00,Unhealthy,3.00,Good,96.00,Moderate,4.00,Good,171.00,Unhealthy
India,Laharpur,177.00,Unhealthy,4.00,Good,177.00,Unhealthy,1.00,Good,174.00,Unhealthy
United States of America,Lake Shore,55.00,Moderate,1.00,Good,48.00,Good,3.00,Good,55.00,Moderate
Russian Federation,Skovorodino,214.00,Very Unhealthy,8.00,Good,25.00,Good,9.00,Good,214.00,Very Unhealthy
Serbia,Smederevska Palanka,59.00,Moderate,1.00,Good,59.00,Moderate,0.00,Good,58.00,Moderate
Greece,Lamia,65.00,Moderate,1.00,Good,45.00,Good,0.00,Good,65.00,Moderate
Germany,Langen,62.00,Moderate,1.00,Good,42.00,Good,2.00,Good,62.00,Moderate
Viet Nam,Lao Cai,25.00,Good,1.00,Good,25.00,Good,0.00,Good,15.00,Good
Philippines,Laoag,28.00,Good,0.00,Good,28.00,Good,0.00,Good,26.00,Good
Mexico,Laredo,119.00,Unhealthy for Sensitive Groups,2.00,Good,20.00,Good,2.00,Good,119.00,Unhealthy for Sensitive Groups
Germany,Leonberg,52.00,Moderate,1.00,Good,33.00,Good,6.00,Good,52.00,Moderate
France,Les Pavillons Sous Bois,68.00,Moderate,1.00,Good,21.00,Good,5.00,Good,68.00,Moderate
Italy,Leverano,58.00,Moderate,1.00,Good,58.00,Moderate,1.00,Good,49.00,Good
India,Narwar,162.00,Unhealthy,3.00,Good,90.00,Moderate,2.00,Good,162.00,Unhealthy
Russian Federation,Nevyansk,41.00,Good,1.00,Good,41.00,Good,1.00,Good,21.00,Good
United States of America,New Philadelphia,44.00,Good,1.00,Good,38.00,Good,2.00,Good,44.00,Good
New Zealand,New Plymouth,58.00,Moderate,0.00,Good,30.00,Good,0.00,Good,58.00,Moderate
India,Neyyattinkara,89.00,Moderate,2.00,Good,19.00,Good,4.00,Good,89.00,Moderate
Indonesia,Nganjuk,172.00,Unhealthy,6.00,Good,6.00,Good,19.00,Good,172.00,Unhealthy
Germany,Nidda,58.00,Moderate,1.00,Good,53.00,Moderate,0.00,Good,58.00,Moderate
Japan,Nihommatsu,65.00,Moderate,1.00,Good,18.00,Good,12.00,Good,65.00,Moderate
United States of America,North Berwick,32.00,Good,1.00,Good,32.00,Good,1.00,Good,31.00,Good
Burkina Faso,Nouna,69.00,Moderate,1.00,Good,29.00,Good,0.00,Good,69.00,Moderate
Brazil,Nova Prata,24.00,Good,0.00,Good,18.00,Good,0.00,Good,24.00,Good
Russian Federation,Novokuznetsk,46.00,Good,1.00,Good,21.00,Good,13.00,Good,46.00,Good
,Nuevitas,62.00,Moderate,1.00,Good,28.00,Good,0.00,Good,62.00,Moderate
Japan,Obihiro,47.00,Good,1.00,Good,21.00,Good,4.00,Good,47.00,Good
Germany,Oerlinghausen,48.00,Good,1.00,Good,43.00,Good,0.00,Good,48.00,Good
United States of America,Oil City,54.00,Moderate,1.00,Good,36.00,Good,1.00,Good,54.00,Moderate
Netherlands,Oisterwijk,42.00,Good,1.00,Good,40.00,Good,1.00,Good,42.00,Good
Germany,Erlensee,59.00,Moderate,1.00,Good,59.00,Moderate,0.00,Good,58.00,Moderate
United States of America,Escondido,64.00,Moderate,2.00,Good,15.00,Good,14.00,Good,64.00,Moderate
Mexico,Ezequiel Montes,40.00,Good,1.00,Good,28.00,Good,0.00,Good,40.00,Good
United States of America,Fair Oaks,50.00,Good,1.00,Good,28.00,Good,6.00,Good,50.00,Good
United States of America,Fairview Shores,96.00,Moderate,1.00,Good,96.00,Moderate,1.00,Good,21.00,Good
India,Faridpur,157.00,Unhealthy,4.00,Good,26.00,Good,10.00,Good,157.00,Unhealthy
Brazil,Franco Da Rocha,97.00,Moderate,2.00,Good,31.00,Good,3.00,Good,97.00,Moderate
United States of America,Freeport,43.00,Good,1.00,Good,40.00,Good,1.00,Good,43.00,Good
China,Fujin,101.00,Unhealthy for Sensitive Groups,3.00,Good,27.00,Good,5.00,Good,101.00,Unhealthy for Sensitive Groups
Japan,Fukagawa,56.00,Moderate,1.00,Good,29.00,Good,4.00,Good,56.00,Moderate
Brazil,Fundao,54.00,Moderate,1.00,Good,27.00,Good,0.00,Good,54.00,Moderate
China,Fushan,81.00,Moderate,3.00,Good,81.00,Moderate,5.00,Good,63.00,Moderate
Germany,Gardelegen,45.00,Good,1.00,Good,45.00,Good,0.00,Good,26.00,Good
Israel,Gedera,75.00,Moderate,1.00,Good,46.00,Good,5.00,Good,75.00,Moderate
Spain,Getafe,42.00,Good,1.00,Good,42.00,Good,0.00,Good,10.00,Good
Italy,Gioia Del Colle,62.00,Moderate,1.00,Good,52.00,Moderate,0.00,Good,62.00,Moderate
United States of America,Dallas,70.00,Moderate,2.00,Good,34.00,Good,5.00,Good,70.00,Moderate
Iran (Islamic Republic of),Damavand,134.00,Unhealthy for Sensitive Groups,1.00,Good,40.00,Good,6.00,Good,134.00,Unhealthy for Sensitive Groups
Turkmenistan,Dasoguz,67.00,Moderate,1.00,Good,32.00,Good,4.00,Good,67.00,Moderate
Philippines,Del Pilar,144.00,Unhealthy for Sensitive Groups,2.00,Good,26.00,Good,7.00,Good,144.00,Unhealthy for Sensitive Groups
Netherlands,Denekamp,37.00,Good,1.00,Good,37.00,Good,0.00,Good,31.00,Good
Bangladesh,Dhamrai,152.00,Unhealthy,4.00,Good,13.00,Good,15.00,Good,152.00,Unhealthy
Russian Federation,Dmitrov,35.00,Good,1.00,Good,35.00,Good,1.00,Good,18.00,Good
Germany,Donaueschingen,61.00,Moderate,1.00,Good,51.00,Moderate,0.00,Good,61.00,Moderate
Brazil,Dores Do Indaia,36.00,Good,1.00,Good,23.00,Good,0.00,Good,36.00,Good
United Kingdom of Great Britain and Northern Ireland,Droylsden,38.00,Good,1.00,Good,37.00,Good,1.00,Good,38.00,Good
China,Ducheng,88.00,Moderate,4.00,Good,27.00,Good,7.00,Good,88.00,Moderate
United States of America,East Chicago,58.00,Moderate,1.00,Good,33.00,Good,5.00,Good,58.00,Moderate
Greece,Edessa,109.00,Unhealthy for Sensitive Groups,1.00,Good,43.00,Good,1.00,Good,109.00,Unhealthy for Sensitive Groups
Hungary,Eger,64.00,Moderate,1.00,Good,52.00,Moderate,0.00,Good,64.00,Moderate
Spain,El Viso Del Alcor,43.00,Good,1.00,Good,43.00,Good,0.00,Good,14.00,Good
United States of America,Rancho Cordova,51.00,Moderate,1.00,Good,26.00,Good,7.00,Good,51.00,Moderate
India,Raurkela,158.00,Unhealthy,3.00,Good,45.00,Good,3.00,Good,158.00,Unhealthy
Italy,Recanati,77.00,Moderate,1.00,Good,66.00,Moderate,0.00,Good,77.00,Moderate
China,Renqiu,141.00,Unhealthy for Sensitive Groups,4.00,Good,39.00,Good,21.00,Good,141.00,Unhealthy for Sensitive Groups
Republic of Moldova,Rezina,55.00,Moderate,1.00,Good,50.00,Good,0.00,Good,55.00,Moderate
United States of America,Richfield,50.00,Good,1.00,Good,28.00,Good,1.00,Good,50.00,Good
Netherlands,Rijssen,37.00,Good,1.00,Good,37.00,Good,0.00,Good,30.00,Good
Philippines,Placer,32.00,Good,1.00,Good,23.00,Good,0.00,Good,32.00,Good
Spain,Pozoblanco,40.00,Good,1.00,Good,40.00,Good,0.00,Good,11.00,Good
China,Qingyuan,153.00,Unhealthy,4.00,Good,10.00,Good,19.00,Good,153.00,Unhealthy
Israel,Qiryat Ono,74.00,Moderate,1.00,Good,46.00,Good,5.00,Good,74.00,Moderate
Germany,Quedlinburg,47.00,Good,1.00,Good,44.00,Good,0.00,Good,47.00,Good
South Africa,Queenstown,45.00,Good,1.00,Good,11.00,Good,2.00,Good,45.00,Good
Azerbaijan,Qusar,76.00,Moderate,1.00,Good,33.00,Good,0.00,Good,76.00,Moderate
India,Rahimatpur,117.00,Unhealthy for Sensitive Groups,1.00,Good,28.00,Good,3.00,Good,117.00,Unhealthy for Sensitive Groups
United States of America,Ontario,138.00,Unhealthy for Sensitive Groups,4.00,Good,13.00,Good,23.00,Good,138.00,Unhealthy for Sensitive Groups
Spain,Orihuela,39.00,Good,1.00,Good,39.00,Good,0.00,Good,38.00,Good
Germany,Ottobrunn,68.00,Moderate,1.00,Good,65.00,Moderate,0.00,Good,68.00,Moderate
Mexico,Pabellon De Arteaga,45.00,Good,1.00,Good,29.00,Good,0.00,Good,45.00,Good
Cyprus,Pafos,45.00,Good,1.00,Good,45.00,Good,0.00,Good,15.00,Good
United States of America,Palestine,35.00,Good,1.00,Good,21.00,Good,3.00,Good,35.00,Good
United States of America,Palm City,36.00,Good,1.00,Good,36.00,Good,1.00,Good,17.00,Good
United States of America,Palmer,48.00,Good,1.00,Good,38.00,Good,2.00,Good,48.00,Good
Pakistan,Pattoki,174.00,Unhealthy,4.00,Good,85.00,Moderate,7.00,Good,174.00,Unhealthy
India,Pedana,137.00,Unhealthy for Sensitive Groups,2.00,Good,36.00,Good,7.00,Good,137.00,Unhealthy for Sensitive Groups
Russian Federation,Petrov Val,46.00,Good,1.00,Good,46.00,Good,0.00,Good,15.00,Good
